ABBR	What is the abbreviated form of the National Bureau of Investigation ?
NUM	When did Nixon die ?
ENTY	Name the two mystical ravens Odin has at his command .
DESC	What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?
NUM	How many people in Tucson ?
DESC	What 's the rathaus in Frankfurt ?
ENTY	What is Dudley Do-Right 's horse 's name ?
ABBR	What is the abbreviated expression for the National Bureau of Investigation ?
HUM	What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?
ABBR	What does the abbreviation OAS stand for ?
HUM	What buxom blonde appeared on the cover of more than 5 magazines ?
ENTY	What is the treatment for depression ?
ENTY	What kind of mammal is a colt ?
ABBR	What does IQ stand for ?
NUM	How many times a day should you take a prescription marked `` q.i.d . '' ?
HUM	What artist 's studio was the Bateau-Lavoir in Montmartre ?
LOC	What city boasts the Billingsgate fishmarket ?
ENTY	What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?
NUM	How many times has Harold Stassen announced a drive for the White House ?
HUM	What army was founded by William Booth and his wife Catherine ?
HUM	What writer-journalist made his mark describing colorful Broadway and underworld characters ?
HUM	Who made the deodorant that claimed that it `` actually builds up resistance to odor '' ?
HUM	Whose cupboard was bare ?
ENTY	What is the name of the Jewish alphabet ?
DESC	What type of childhood did Jules Verne have ?
NUM	How many times does the tide ebb and flow each day ?
LOC	On what river is Rome built ?
NUM	How many times more than 3
NUM	How many revolutions does a standard LP make in three minutes ?
NUM	How much money does a back injury lawsuit get ?
NUM	What percentage of the body is muscle ?
ABBR	What does the `` blue ribbon '' stand for ?
NUM	How many tiles did the Space Shuttle Columbia lose on its second flight ?
LOC	What countries have the highest ratio of university students ?
ENTY	What kind of books does Fodor 's publish ?
DESC	Why is Indiglo called Indiglo ?
ENTY	Which comic strip was never turned into a Broadway musical ?
ENTY	Which cats pursued Tweety Pie in his first cartoon appearance ?
DESC	What is mandibulofacial dysostosis ?
HUM	What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?
LOC	What country contains Africa 's northernmost point ?
LOC	What province is Edmonton located in ?
DESC	What is the weather like on the moon ?
LOC	What country is the origin of the band the Creeps ?
LOC	What Nevada center has been dubbed The Biggest Little City in the World ?
ENTY	Which killer whale died at Sea World of a fungal infection ?
DESC	How do you do a bibliography page ?
HUM	Who fired Maria Ybarra from her position in San Diego council ?
DESC	What is film noir ?
ENTY	What Hermann Hesse book gave its name to a rock group ?
NUM	How long does it take light to reach the Earth from the Sun ?
DESC	What makes popcorn pop ?
ENTY	What Stephen Sondheim ballad ends : `` Well , maybe next year.. . '' ?
HUM	What little boy and dog live in a shoe ?
LOC	Where is `` Global Schoolhouse '' ?
NUM	What year did Apartheid start ?
DESC	What is the origin of the rock band Led Zeppelin 's name ?
HUM	What army 's motto is Blood and Fire ?
ENTY	What war added jeep and quisling to the English language ?
DESC	What is the claim to fame of Agra , India ?
NUM	When do you plant winter wheat ?
ABBR	What 's the abbreviation for trinitrotoluene ?
NUM	How many disks does each player have in a four-handed game of Crokinole ?
LOC	Where do hyenas live ?
LOC	Where is Burma ?
HUM	What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?
HUM	Which of the following TV newsmen was a Rhodes scholar ?
ENTY	What do you call a section of your finger from one joint to another ?
DESC	How did serfdom develop in and then leave Russia ?
ENTY	What are the 10 plagues of Egypt ?
DESC	What is goulash ?
ENTY	What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?
DESC	What is the Socratic method ?
ENTY	What rum is so `` mixable '' it is a one-brand bar ?
NUM	How old is Benny Carter ?
HUM	What is the present Pope named ?
HUM	Who was the lyricist and who was the composer between Gilbert and Sullivan ?
LOC	Where in a tree does photosynthesis occur ?
HUM	Name the Marvel team loosely based on DC 's Justice League of America ?
ENTY	What term means a sexual attraction between a male and a female ?
NUM	What year did Hitler die ?
ENTY	What sport does Chris Jogis play ?
DESC	How do wasps make their nests ?
DESC	Why did the Anglican church split from the Vatican ?
LOC	What country is located at 13 degrees North latitude and 10 degrees East longitude ?
HUM	Who won the first World Series ?
LOC	What continent is Bolivia on ?
DESC	What happened in dogtown in 1899 to make that year remembered ?
NUM	What is the weight of a teaspoon of matter in a black hole ?
DESC	What is the origin of the Christmas tree ?
LOC	Where is Romania located ?
ENTY	What 1965 film had Jack Lemmon portraying a cartoonist ?
DESC	What is a rhomboideus minor ?
HUM	Name the blind sculptress in love with the Fantastic Four 's Thing .
DESC	What are field effect transistors ?
HUM	Which company created the Internet browser Mosaic ?
NUM	How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?
LOC	In what country is Lund ?
DESC	What 's the Olympic motto ?
HUM	When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?
DESC	What is the origin of the word nevermind ?
ENTY	To get the most caffeine , what soda should I drink ?
ENTY	What was the 24-disc John Gabel Entertainer the first example of , in 1960 ?
LOC	What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?
ENTY	Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?
